Date,FURNAS
1993-01,1301.1716129032259
1993-02,1938.3160714285714
1993-03,1512.406451612903
1993-04,1103.275
1993-05,717.2912903225806
1993-06,727.475
1993-07,502.3732258064516
1993-08,435.0358064516129
1993-09,457.03266666666667
1993-10,566.0935483870968
1993-11,437.44
1993-12,704.5922580645162
1994-01,1926.8416129032257
1994-02,845.3932142857142
1994-03,1224.3096774193548
1994-04,775.0496666666667
1994-05,868.4322580645162
1994-06,563.0213333333334
1994-07,457.9670967741935
1994-08,352.48483870967743
1994-09,272.83633333333336
1994-10,305.90258064516127
1994-11,460.2703333333333
1994-12,1062.3790322580646
1995-01,923.7929032258065
1995-02,2787.9249999999997
1995-03,1192.6425806451612
1995-04,998.4363333333333
1995-05,740.6451612903226
1995-06,532.0753333333333
1995-07,470.92225806451614
1995-08,310.9783870967742
1995-09,273.2386666666667
1995-10,636.8709677419355
1995-11,617.4576666666667
1995-12,988.3516129032258
1996-01,1927.931935483871
1996-02,1231.3248275862068
1996-03,1431.3854838709676
1996-04,829.278
1996-05,663.824193548387
1996-06,499.0903333333333
1996-07,442.26129032258063
1996-08,389.0825806451613
1996-09,680.842
1996-10,518.0774193548388
1996-11,1454.8326666666665
1996-12,1735.581935483871
1997-01,3620.63935483871
1997-02,1823.5682142857142
1997-03,1498.4641935483871
1997-04,1066.3663333333334
1997-05,765.4667741935484
1997-06,863.258
1997-07,577.8816129032259
1997-08,436.8477419354839
1997-09,405.387
1997-10,502.44032258064516
1997-11,714.7900000000001
1997-12,1185.4093548387098
1998-01,1191.1374193548388
1998-02,1247.840357142857
1998-03,965.3935483870968
1998-04,676.3676666666667
1998-05,570.6777419354838
1998-06,512.5993333333333
1998-07,361.6983870967742
1998-08,359.7803225806452
1998-09,259.74533333333335
1998-10,500.57032258064515
1998-11,524.957
1998-12,1009.61
1999-01,1680.543870967742
1999-02,1409.8167857142857
1999-03,1544.634193548387
1999-04,753.7366666666666
1999-05,531.3835483870968
1999-06,502.1243333333333
1999-07,399.916129032258
1999-08,278.41709677419357
1999-09,289.83566666666667
1999-10,209.86129032258063
1999-11,334.75033333333334
1999-12,795.9083870967742
2000-01,2248.472580645161
2000-02,1817.4527586206896
2000-03,1376.0267741935484
2000-04,810.7223333333333
2000-05,540.4264516129033
2000-06,493.049
2000-07,419.3783870967742
2000-08,379.7890322580645
2000-09,558.2566666666667
2000-10,302.0722580645161
2000-11,703.3293333333334
2000-12,1013.0067741935484
2001-01,895.6790322580645
2001-02,712.5742857142858
2001-03,627.8906451612903
2001-04,493.57800000000003
2001-05,373.98838709677415
2001-06,294.46200000000005
2001-07,250.36483870967743
2001-08,217.2258064516129
2001-09,272.38866666666667
2001-10,400.39290322580644
2001-11,566.548
2001-12,1029.1429032258065
2002-01,1239.8064516129032
2002-02,1982.142857142857
2002-03,1146.9032258064517
2002-04,640.6333333333333
2002-05,511.64516129032256
2002-06,420.1
2002-07,380.5806451612903
2002-08,308.1290322580645
2002-09,354.2
2002-10,222.29032258064515
2002-11,549.3666666666667
2002-12,997.8064516129032
2003-01,1882.1935483870968
2003-02,1396.1785714285713
2003-03,1072.0645161290322
2003-04,718.4
2003-05,531.3870967741935
2003-06,393.73333333333335
2003-07,385.51612903225805
2003-08,271.16129032258067
2003-09,261.4
2003-10,301.8709677419355
2003-11,433.1666666666667
2003-12,916.0
2004-01,1251.7096774193549
2004-02,1613.6206896551723
2004-03,1326.4193548387098
2004-04,1047.9666666666667
2004-05,760.483870967742
2004-06,691.8333333333334
2004-07,564.258064516129
2004-08,386.2903225806452
2004-09,294.2
2004-10,482.80645161290323
2004-11,520.4666666666667
2004-12,1525.5806451612902
2005-01,2239.2903225806454
2005-02,1713.0714285714287
2005-03,1541.1935483870968
2005-04,874.2666666666667
2005-05,949.8064516129032
2005-06,676.5333333333333
2005-07,560.4516129032259
2005-08,416.16129032258067
2005-09,476.93333333333334
2005-10,392.0
2005-11,721.0666666666667
2005-12,1351.741935483871
2006-01,1114.2903225806451
2006-02,1160.9642857142858
2006-03,1377.483870967742
2006-04,673.2666666666667
2006-05,494.61290322580646
2006-06,424.56666666666666
2006-07,361.48387096774195
2006-08,282.6774193548387
2006-09,324.668
2006-10,472.0
2006-11,671.3333333333334
2006-12,1268.3548387096773
2007-01,3388.0
2007-02,2128.75
2007-03,913.9032258064516
2007-04,780.5333333333333
2007-05,597.0967741935484
2007-06,518.9
2007-07,470.06451612903226
2007-08,346.6774193548387
2007-09,256.43333333333334
2007-10,282.258064516129
2007-11,643.8333333333334
2007-12,819.9677419354839
2008-01,1091.6232258064515
2008-02,1733.8244827586207
2008-03,1755.551935483871
2008-04,1448.6576666666667
2008-05,769.7158064516128
2008-06,624.58
2008-07,460.4203225806452
2008-08,431.9009677419355
2008-09,417.7866666666667
2008-10,476.62967741935483
2008-11,863.811
2008-12,1543.905806451613
2009-01,2027.8409677419354
2009-02,2484.9435714285714
2009-03,1618.756129032258
2009-04,1642.7839999999999
2009-05,843.1829032258065
2009-06,696.4096666666667
2009-07,630.4358064516128
2009-08,525.3583870967742
2009-09,704.7036666666667
2009-10,828.2167741935484
2009-11,657.7583333333333
2009-12,1787.2051612903226
2010-01,1810.8558064516128
2010-02,1026.202857142857
2010-03,1267.616129032258
2010-04,806.9883333333333
2010-05,579.0835483870968
2010-06,478.02099999999996
2010-07,426.03322580645164
2010-08,301.16838709677415
2010-09,283.95233333333334
2010-10,455.09354838709675
2010-11,861.2333333333333
2010-12,1512.3548387096773
2011-01,2959.121612903226
2011-02,1086.6910714285714
2011-03,1930.5625806451615
2011-04,1063.4103333333335
2011-05,698.4583870967741
2011-06,627.7623333333333
2011-07,487.8393548387097
2011-08,388.1264516129032
2011-09,298.098
2011-10,458.56129032258065
2011-11,515.3416666666667
2011-12,1648.4512903225807
2012-01,2628.187096774194
2012-02,1224.5172413793102
2012-03,909.7303225806452
2012-04,723.7776666666667
2012-05,674.7396774193548
2012-06,740.0229999999999
2012-07,508.3577419354839
2012-08,340.02
2012-09,262.3156666666667
2012-10,252.64870967741933
2012-11,435.30533333333335
2012-12,665.1903225806452
2013-01,1812.162258064516
2013-02,1654.2175000000002
2013-03,1240.4703225806452
2013-04,994.5343333333333
2013-05,620.491935483871
2013-06,647.082
2013-07,498.8725806451613
2013-08,362.93774193548387
2013-09,350.67766666666665
2013-10,505.07774193548386
2013-11,558.5713333333333
2013-12,978.8587096774194
2014-01,495.6390322580645
2014-02,273.0682142857143
2014-03,335.3358064516129
2014-04,389.36333333333334
2014-05,264.17129032258066
2014-06,250.04666666666665
2014-07,242.7183870967742
2014-08,207.49161290322579
2014-09,145.46666666666667
2014-10,96.94290322580645
2014-11,282.316
2014-12,561.2016129032259
2015-01,307.3658064516129
2015-02,595.6503571428572
2015-03,804.3541935483871
2015-04,527.384
2015-05,389.43
2015-06,328.06800000000004
2015-07,255.54387096774192
2015-08,191.30806451612904
2015-09,402.53933333333333
2015-10,160.50516129032258
2015-11,525.3926666666667
2015-12,900.1167741935484
2016-01,1645.654193548387
2016-02,1128.6637931034484
2016-03,1194.1516129032257
2016-04,580.5266666666666
2016-05,445.7254838709677
2016-06,638.3023333333333
2016-07,337.69709677419354
2016-08,284.64677419354837
2016-09,227.82166666666666
2016-10,365.0138709677419
2016-11,653.4856666666667
2016-12,650.3509677419355
2017-01,794.8435483870968
2017-02,576.3628571428571
2017-03,594.8151612903226
2017-04,365.5603333333333
2017-05,429.36
2017-06,354.409
2017-07,242.77
2017-08,175.6167741935484
2017-09,129.96099999999998
2017-10,210.00774193548386
2017-11,365.38
2017-12,534.396129032258
2018-01,926.4290322580645
2018-02,638.3432142857143
2018-03,801.2477419354839
2018-04,356.4286666666667
2018-05,247.0464516129032
2018-06,238.80200000000002
2018-07,172.3177419354839
2018-08,224.5135483870968
2018-09,193.99099999999999
2018-10,442.3577419354839
2018-11,762.9636666666667
2018-12,928.5583870967743
2019-01,694.2806451612903
2019-02,750.1807142857143
2019-03,1286.1116129032257
2019-04,790.1460000000001
2019-05,534.36
2019-06,365.7006666666667
2019-07,282.6225806451613
2019-08,230.23225806451612
2019-09,215.55233333333334
2019-10,219.20193548387098
2019-11,431.758
2019-12,725.6432258064516
2020-01,938.7080645161291
2020-02,2385.1275862068965
2020-03,1399.8387096774193
2020-04,711.0490000000001
2020-05,462.57709677419354
2020-06,412.80466666666666
2020-07,300.5338709677419
2020-08,238.56483870967742
2020-09,184.90099999999998
2020-10,152.15516129032258
2020-11,372.0566666666667
2020-12,1056.6509677419356
2021-01,1138.4890322580643
2021-02,976.4250000000001
2021-03,832.8577419354839
2021-04,391.706
2021-05,305.9541935483871
2021-06,305.82233333333335
2021-07,217.73967741935485
2021-08,194.0151612903226
2021-09,163.361
2021-10,629.5735483870967
2021-11,738.722
2021-12,908.6306451612903
2022-01,1042.03
