Date,ITAIPU
1993-01,13369.794838709679
1993-02,18373.778928571428
1993-03,17779.72193548387
1993-04,14748.469000000001
1993-05,11251.884516129032
1993-06,11334.988333333335
1993-07,8770.365161290323
1993-08,7590.7190322580645
1993-09,8641.455666666667
1993-10,12975.07387096774
1993-11,8022.124666666667
1993-12,11169.892258064516
1994-01,16991.24193548387
1994-02,18439.532857142858
1994-03,15790.297096774195
1994-04,13136.337333333333
1994-05,10090.47322580645
1994-06,11248.083666666667
1994-07,9801.083225806453
1994-08,7240.000967741936
1994-09,5857.107333333333
1994-10,6068.022903225806
1994-11,8373.933666666668
1994-12,9855.152580645161
1995-01,19796.04129032258
1995-02,23728.134285714284
1995-03,17662.669032258065
1995-04,14928.981
1995-05,10986.005806451612
1995-06,8449.448333333334
1995-07,9008.499032258063
1995-08,5995.809032258064
1995-09,5511.719666666667
1995-10,10577.018387096774
1995-11,8540.253333333334
1995-12,8665.961612903226
1996-01,16194.376774193548
1996-02,13544.916551724138
1996-03,17571.558387096775
1996-04,12803.568666666666
1996-05,9153.829677419353
1996-06,7657.374
1996-07,6688.199354838709
1996-08,5827.61935483871
1996-09,7367.230333333334
1996-10,9232.603225806452
1996-11,11423.280666666666
1996-12,14675.325806451612
1997-01,24616.41612903226
1997-02,28591.851428571426
1997-03,16424.07870967742
1997-04,12252.713666666667
1997-05,10213.657096774194
1997-06,15451.219666666668
1997-07,11516.90322580645
1997-08,8396.610322580646
1997-09,7971.697
1997-10,10739.053870967742
1997-11,13854.738333333335
1997-12,17837.68741935484
1998-01,13567.710967741934
1998-02,16499.885357142855
1998-03,20288.18741935484
1998-04,20381.84433333333
1998-05,15335.405483870967
1998-06,11052.762666666667
1998-07,8678.282903225807
1998-08,10464.664193548388
1998-09,11705.530333333332
1998-10,16790.033548387095
1998-11,10943.291666666666
1998-12,12642.826774193549
1999-01,19459.480967741936
1999-02,17905.73357142857
1999-03,18108.546774193546
1999-04,12341.238000000001
1999-05,10117.138387096773
1999-06,10069.603333333333
1999-07,9909.219677419354
1999-08,6531.222258064516
1999-09,6772.000666666666
1999-10,5159.815806451613
1999-11,5956.568
1999-12,7952.473548387096
2000-01,13485.163548387098
2000-02,19146.67551724138
2000-03,17495.69419354839
2000-04,11590.609999999999
2000-05,8013.652580645162
2000-06,7483.675
2000-07,7393.028709677419
2000-08,7394.425806451613
2000-09,13591.797666666667
2000-10,8613.366129032258
2000-11,9494.900333333333
2000-12,13315.488064516128
2001-01,13783.02870967742
2001-02,15597.591428571428
2001-03,12896.363225806452
2001-04,10307.635333333334
2001-05,8655.941935483872
2001-06,8620.199
2001-07,7407.330967741936
2001-08,6150.720967741936
2001-09,6470.916333333333
2001-10,8991.39
2001-11,8893.559666666666
2001-12,12391.030322580646
2002-01,17598.41935483871
2002-02,19556.35714285714
2002-03,15188.967741935483
2002-04,10150.333333333334
2002-05,11604.612903225807
2002-06,8067.133333333333
2002-07,6870.806451612903
2002-08,6582.258064516129
2002-09,6964.5
2002-10,5694.354838709677
2002-11,8230.666666666666
2002-12,12078.032258064517
2003-01,16073.806451612903
2003-02,21382.85714285714
2003-03,15234.516129032258
2003-04,14075.966666666667
2003-05,9302.774193548386
2003-06,8680.9
2003-07,7420.451612903225
2003-08,5972.387096774193
2003-09,5772.566666666667
2003-10,6224.709677419355
2003-11,7660.633333333333
2003-12,12279.290322580646
2004-01,11826.290322580646
2004-02,16391.724137931036
2004-03,16615.09677419355
2004-04,12372.233333333334
2004-05,13148.677419354839
2004-06,12906.9
2004-07,10984.322580645161
2004-08,7304.903225806452
2004-09,5688.833333333333
2004-10,8901.0
2004-11,11193.033333333333
2004-12,11498.806451612903
2005-01,19476.709677419356
2005-02,18383.75
2005-03,13340.129032258064
2005-04,11318.033333333333
2005-05,9312.548387096775
2005-06,10310.1
2005-07,7424.1612903225805
2005-08,5942.387096774193
2005-09,7718.8
2005-10,11382.451612903225
2005-11,9993.3
2005-12,15792.58064516129
2006-01,14079.193548387097
2006-02,14810.892857142857
2006-03,17184.451612903227
2006-04,15525.833333333334
2006-05,9195.0
2006-06,7856.233333333334
2006-07,6990.354838709677
2006-08,5949.612903225807
2006-09,6842.8313333333335
2006-10,8596.193548387097
2006-11,8145.866666666667
2006-12,15827.322580645161
2007-01,26997.225806451614
2007-02,26832.10714285714
2007-03,17385.774193548386
2007-04,11719.133333333333
2007-05,10704.322580645161
2007-06,8743.866666666667
2007-07,8603.193548387097
2007-08,7416.709677419355
2007-09,4962.766666666666
2007-10,4712.903225806452
2007-11,8481.1
2007-12,8824.258064516129
2008-01,11145.574516129032
2008-02,18135.905172413793
2008-03,18261.41
2008-04,15147.977666666668
2008-05,12355.423548387096
2008-06,9859.145666666667
2008-07,7577.291290322581
2008-08,9728.777419354838
2008-09,5977.822
2008-10,8505.784838709678
2008-11,9439.029
2008-12,8146.00064516129
2009-01,13757.354838709678
2009-02,19325.955714285716
2009-03,13598.337741935484
2009-04,12796.632666666666
2009-05,9031.707096774193
2009-06,8241.813
2009-07,10772.178709677419
2009-08,9865.654516129032
2009-09,13014.061666666666
2009-10,15121.750967741937
2009-11,13823.315
2009-12,19600.44451612903
2010-01,23603.89548387097
2010-02,23343.144285714287
2010-03,17203.51193548387
2010-04,16189.563666666665
2010-05,11319.61193548387
2010-06,9057.662333333334
2010-07,7941.793225806451
2010-08,6268.666774193549
2010-09,5396.588000000001
2010-10,9248.225161290322
2010-11,8669.066666666668
2010-12,13396.483870967742
2011-01,20641.141612903226
2011-02,18088.484285714287
2011-03,25646.327741935485
2011-04,18636.094666666664
2011-05,11805.633225806452
2011-06,10006.643
2011-07,9820.601290322582
2011-08,11402.002903225808
2011-09,7277.888
2011-10,9858.309677419355
2011-11,10038.071666666667
2011-12,10687.240322580645
2012-01,17813.422903225804
2012-02,14100.675172413794
2012-03,10806.607741935482
2012-04,10229.038999999999
2012-05,10910.29064516129
2012-06,16147.503333333332
2012-07,11143.774516129033
2012-08,6904.126451612904
2012-09,5696.524
2012-10,6039.177741935484
2012-11,7341.051
2012-12,8975.352258064515
2013-01,13168.958709677418
2013-02,18011.713571428572
2013-03,16912.610967741934
2013-04,18074.489999999998
2013-05,10762.017419354837
2013-06,16972.988666666664
2013-07,14554.668387096774
2013-08,8277.623870967742
2013-09,7015.772
2013-10,9697.608387096774
2013-11,7706.000333333333
2013-12,10014.12258064516
2014-01,9651.805161290324
2014-02,6959.3875
2014-03,11328.263225806451
2014-04,11335.703666666666
2014-05,9038.161290322581
2014-06,13308.188333333334
2014-07,8269.902258064516
2014-08,6945.419032258064
2014-09,7102.4186666666665
2014-10,7462.631612903226
2014-11,6992.491333333333
2014-12,11541.337419354839
2015-01,9145.68
2015-02,11952.898214285715
2015-03,13971.521612903225
2015-04,12527.465
2015-05,11417.666129032259
2015-06,9607.899666666666
2015-07,15519.108387096774
2015-08,7894.757741935484
2015-09,9466.237
2015-10,10550.278387096774
2015-11,15154.454666666667
2015-12,20295.102903225805
2016-01,27255.608064516127
2016-02,20170.940344827588
2016-03,21719.92258064516
2016-04,12152.496666666668
2016-05,12760.798387096775
2016-06,15871.643333333333
2016-07,9989.547419354838
2016-08,9946.442258064517
2016-09,8807.123
2016-10,8545.056451612903
2016-11,9200.498666666668
2016-12,11655.652258064516
2017-01,12815.989032258063
2017-02,15248.870714285715
2017-03,11840.78064516129
2017-04,10497.078666666666
2017-05,12676.612258064515
2017-06,13369.074333333332
2017-07,7376.00935483871
2017-08,7106.801290322581
2017-09,5265.471333333334
2017-10,7047.635806451613
2017-11,13190.712
2017-12,14509.767096774192
2018-01,22190.771612903227
2018-02,15771.402857142859
2018-03,16385.40258064516
2018-04,13168.520666666667
2018-05,8305.096451612902
2018-06,7501.948666666666
2018-07,6049.015806451613
2018-08,6248.595806451613
2018-09,6681.4400000000005
2018-10,10915.83193548387
2018-11,12313.813333333334
2018-12,11794.435161290323
2019-01,10494.47
2019-02,9752.01
2019-03,16132.902258064516
2019-04,12072.985333333334
2019-05,10145.315483870969
2019-06,9924.596333333333
2019-07,7000.2774193548385
2019-08,5522.618709677419
2019-09,4917.687666666667
2019-10,4412.682258064516
2019-11,5302.961666666667
2019-12,11417.408387096773
2020-01,10963.023548387097
2020-02,15717.714137931036
2020-03,14382.62129032258
2020-04,9381.567333333334
2020-05,7309.275161290322
2020-06,6911.980666666667
2020-07,6354.8567741935485
2020-08,6402.862580645161
2020-09,4628.674
2020-10,3835.9629032258067
2020-11,4966.917333333333
2020-12,7053.425161290323
2021-01,12712.757419354839
2021-02,11852.292857142858
2021-03,11016.831290322581
2021-04,6422.077333333334
2021-05,4993.358709677419
2021-06,5337.398666666666
2021-07,4473.762903225806
2021-08,3982.6045161290326
2021-09,3812.221
2021-10,8368.274193548386
2021-11,7850.735333333333
2021-12,7827.309032258065
2022-01,9124.03
